Date,T-12,T-11,T-10,T-9,T-8,T-7,T-6,T-5,T-4,T-3,T-2,T-1,window_statistic_12_median,difference_13_12-1,difference_statistic_3_1_abs_energy,tzero,Target_Tplus2
1965-01,2815.0,2672.0,2755.0,2721.0,2946.0,3036.0,2282.0,2212.0,2922.0,4301.0,5764.0,7312.0,2868.5,-274.0,25158745.0,2541,3031.0
1965-02,2672.0,2755.0,2721.0,2946.0,3036.0,2282.0,2212.0,2922.0,4301.0,5764.0,7312.0,2541.0,2838.5,-197.0,22766797.0,2475,3266.0
1965-03,2755.0,2721.0,2946.0,3036.0,2282.0,2212.0,2922.0,4301.0,5764.0,7312.0,2541.0,2475.0,2838.5,276.0,313492.0,3031,3776.0
1965-04,2721.0,2946.0,3036.0,2282.0,2212.0,2922.0,4301.0,5764.0,7312.0,2541.0,2475.0,3031.0,2934.0,545.0,364361.0,3266,3230.0
1965-05,2946.0,3036.0,2282.0,2212.0,2922.0,4301.0,5764.0,7312.0,2541.0,2475.0,3031.0,3266.0,2988.5,830.0,315325.0,3776,3028.0
1965-06,3036.0,2282.0,2212.0,2922.0,4301.0,5764.0,7312.0,2541.0,2475.0,3031.0,3266.0,3776.0,3033.5,194.0,558216.0,3230,1759.0
1965-07,2282.0,2212.0,2922.0,4301.0,5764.0,7312.0,2541.0,2475.0,3031.0,3266.0,3776.0,3230.0,3130.5,746.0,338920.0,3028,3595.0
1965-08,2212.0,2922.0,4301.0,5764.0,7312.0,2541.0,2475.0,3031.0,3266.0,3776.0,3230.0,3028.0,3130.5,-453.0,1651165.0,1759,4474.0
1965-09,2922.0,4301.0,5764.0,7312.0,2541.0,2475.0,3031.0,3266.0,3776.0,3230.0,3028.0,1759.0,3130.5,673.0,4981257.0,3595,6838.0
1965-10,4301.0,5764.0,7312.0,2541.0,2475.0,3031.0,3266.0,3776.0,3230.0,3028.0,1759.0,3595.0,3248.0,173.0,4143537.0,4474,8357.0
1965-11,5764.0,7312.0,2541.0,2475.0,3031.0,3266.0,3776.0,3230.0,3028.0,1759.0,3595.0,4474.0,3248.0,1074.0,6361137.0,6838,3113.0
1965-12,7312.0,2541.0,2475.0,3031.0,3266.0,3776.0,3230.0,3028.0,1759.0,3595.0,4474.0,6838.0,3248.0,1045.0,7895857.0,8357,3006.0
1966-01,2541.0,2475.0,3031.0,3266.0,3776.0,3230.0,3028.0,1759.0,3595.0,4474.0,6838.0,8357.0,3248.0,572.0,29806897.0,3113,4047.0
1966-02,2475.0,3031.0,3266.0,3776.0,3230.0,3028.0,1759.0,3595.0,4474.0,6838.0,8357.0,3113.0,3248.0,531.0,27510985.0,3006,3523.0
1966-03,3031.0,3266.0,3776.0,3230.0,3028.0,1759.0,3595.0,4474.0,6838.0,8357.0,3113.0,3006.0,3248.0,1016.0,1095130.0,4047,3937.0
1966-04,3266.0,3776.0,3230.0,3028.0,1759.0,3595.0,4474.0,6838.0,8357.0,3113.0,3006.0,4047.0,3430.5,257.0,1358257.0,3523,3986.0
1966-05,3776.0,3230.0,3028.0,1759.0,3595.0,4474.0,6838.0,8357.0,3113.0,3006.0,4047.0,3523.0,3559.0,161.0,445972.0,3937,3260.0
1966-06,3230.0,3028.0,1759.0,3595.0,4474.0,6838.0,8357.0,3113.0,3006.0,4047.0,3523.0,3937.0,3559.0,756.0,173797.0,3986,1573.0
1966-07,3028.0,1759.0,3595.0,4474.0,6838.0,8357.0,3113.0,3006.0,4047.0,3523.0,3937.0,3986.0,3766.0,232.0,529477.0,3260,3528.0
1966-08,1759.0,3595.0,4474.0,6838.0,8357.0,3113.0,3006.0,4047.0,3523.0,3937.0,3986.0,3260.0,3766.0,-186.0,3373045.0,1573,5211.0
1966-09,3595.0,4474.0,6838.0,8357.0,3113.0,3006.0,4047.0,3523.0,3937.0,3986.0,3260.0,1573.0,3766.0,-67.0,6667994.0,3528,7614.0
1966-10,4474.0,6838.0,8357.0,3113.0,3006.0,4047.0,3523.0,3937.0,3986.0,3260.0,1573.0,3528.0,3732.5,737.0,6654514.0,5211,9254.0
1966-11,6838.0,8357.0,3113.0,3006.0,4047.0,3523.0,3937.0,3986.0,3260.0,1573.0,3528.0,5211.0,3732.5,776.0,8606898.0,7614,5375.0
1966-12,8357.0,3113.0,3006.0,4047.0,3523.0,3937.0,3986.0,3260.0,1573.0,3528.0,5211.0,7614.0,3732.5,897.0,8464009.0,9254,3088.0
1967-01,3113.0,3006.0,4047.0,3523.0,3937.0,3986.0,3260.0,1573.0,3528.0,5211.0,7614.0,9254.0,3732.5,2262.0,17736241.0,5375,3718.0
1967-02,3006.0,4047.0,3523.0,3937.0,3986.0,3260.0,1573.0,3528.0,5211.0,7614.0,9254.0,5375.0,3961.5,82.0,20277010.0,3088,4514.0
1967-03,4047.0,3523.0,3937.0,3986.0,3260.0,1573.0,3528.0,5211.0,7614.0,9254.0,5375.0,3088.0,3961.5,-329.0,5627269.0,3718,4520.0
1967-04,3523.0,3937.0,3986.0,3260.0,1573.0,3528.0,5211.0,7614.0,9254.0,5375.0,3088.0,3718.0,3827.5,991.0,1030516.0,4514,4539.0
1967-05,3937.0,3986.0,3260.0,1573.0,3528.0,5211.0,7614.0,9254.0,5375.0,3088.0,3718.0,4514.0,3961.5,583.0,633652.0,4520,3663.0
1967-06,3986.0,3260.0,1573.0,3528.0,5211.0,7614.0,9254.0,5375.0,3088.0,3718.0,4514.0,4520.0,4250.0,553.0,397.0,4539,1643.0
1967-07,3260.0,1573.0,3528.0,5211.0,7614.0,9254.0,5375.0,3088.0,3718.0,4514.0,4520.0,4539.0,4517.0,403.0,767737.0,3663,4739.0
1967-08,1573.0,3528.0,5211.0,7614.0,9254.0,5375.0,3088.0,3718.0,4514.0,4520.0,4539.0,3663.0,4517.0,70.0,4847776.0,1643,5428.0
1967-09,3528.0,5211.0,7614.0,9254.0,5375.0,3088.0,3718.0,4514.0,4520.0,4539.0,3663.0,1643.0,4517.0,1211.0,13665616.0,4739,8314.0
1967-10,5211.0,7614.0,9254.0,5375.0,3088.0,3718.0,4514.0,4520.0,4539.0,3663.0,1643.0,4739.0,4529.5,217.0,10059937.0,5428,10651.0
1967-11,7614.0,9254.0,5375.0,3088.0,3718.0,4514.0,4520.0,4539.0,3663.0,1643.0,4739.0,5428.0,4529.5,700.0,8803717.0,8314,3633.0
1967-12,9254.0,5375.0,3088.0,3718.0,4514.0,4520.0,4539.0,3663.0,1643.0,4739.0,5428.0,8314.0,4529.5,1397.0,13790565.0,10651,4292.0
1968-01,5375.0,3088.0,3718.0,4514.0,4520.0,4539.0,3663.0,1643.0,4739.0,5428.0,8314.0,10651.0,4529.5,-1742.0,54713893.0,3633,4154.0
1968-02,3088.0,3718.0,4514.0,4520.0,4539.0,3663.0,1643.0,4739.0,5428.0,8314.0,10651.0,3633.0,4517.0,1204.0,49686605.0,4292,4121.0
1968-03,3718.0,4514.0,4520.0,4539.0,3663.0,1643.0,4739.0,5428.0,8314.0,10651.0,3633.0,4292.0,4517.0,436.0,453325.0,4154,4647.0
1968-04,4514.0,4520.0,4539.0,3663.0,1643.0,4739.0,5428.0,8314.0,10651.0,3633.0,4292.0,4154.0,4517.0,-393.0,20133.0,4121,4753.0
1968-05,4520.0,4539.0,3663.0,1643.0,4739.0,5428.0,8314.0,10651.0,3633.0,4292.0,4154.0,4121.0,4406.0,127.0,277765.0,4647,3965.0
1968-06,4539.0,3663.0,1643.0,4739.0,5428.0,8314.0,10651.0,3633.0,4292.0,4154.0,4121.0,4647.0,4415.5,214.0,287912.0,4753,1723.0
1968-07,3663.0,1643.0,4739.0,5428.0,8314.0,10651.0,3633.0,4292.0,4154.0,4121.0,4647.0,4753.0,4469.5,302.0,632180.0,3965,5048.0
1968-08,1643.0,4739.0,5428.0,8314.0,10651.0,3633.0,4292.0,4154.0,4121.0,4647.0,4753.0,3965.0,4469.5,80.0,5647508.0,1723,6922.0
1968-09,4739.0,5428.0,8314.0,10651.0,3633.0,4292.0,4154.0,4121.0,4647.0,4753.0,3965.0,1723.0,4469.5,309.0,16082189.0,5048,9858.0
1968-10,5428.0,8314.0,10651.0,3633.0,4292.0,4154.0,4121.0,4647.0,4753.0,3965.0,1723.0,5048.0,4469.5,1494.0,14567501.0,6922,11331.0
1968-11,8314.0,10651.0,3633.0,4292.0,4154.0,4121.0,4647.0,4753.0,3965.0,1723.0,5048.0,6922.0,4469.5,1544.0,12131972.0,9858,4016.0
1968-12,10651.0,3633.0,4292.0,4154.0,4121.0,4647.0,4753.0,3965.0,1723.0,5048.0,6922.0,9858.0,4469.5,680.0,10789825.0,11331,3957.0
1969-01,3633.0,4292.0,4154.0,4121.0,4647.0,4753.0,3965.0,1723.0,5048.0,6922.0,9858.0,11331.0,4469.5,383.0,55678954.0,4016,4510.0
1969-02,4292.0,4154.0,4121.0,4647.0,4753.0,3965.0,1723.0,5048.0,6922.0,9858.0,11331.0,4016.0,4469.5,-335.0,53512706.0,3957,4276.0
1969-03,4154.0,4121.0,4647.0,4753.0,3965.0,1723.0,5048.0,6922.0,9858.0,11331.0,4016.0,3957.0,4400.5,356.0,309290.0,4510,4968.0
1969-04,4121.0,4647.0,4753.0,3965.0,1723.0,5048.0,6922.0,9858.0,11331.0,4016.0,3957.0,4510.0,4578.5,155.0,360565.0,4276,4677.0
1969-05,4647.0,4753.0,3965.0,1723.0,5048.0,6922.0,9858.0,11331.0,4016.0,3957.0,4510.0,4276.0,4578.5,321.0,533620.0,4968,3523.0
1969-06,4753.0,3965.0,1723.0,5048.0,6922.0,9858.0,11331.0,4016.0,3957.0,4510.0,4276.0,4968.0,4631.5,-76.0,563545.0,4677,1821.0
1969-07,3965.0,1723.0,5048.0,6922.0,9858.0,11331.0,4016.0,3957.0,4510.0,4276.0,4968.0,4677.0,4593.5,-442.0,1416397.0,3523,5222.0
1969-08,1723.0,5048.0,6922.0,9858.0,11331.0,4016.0,3957.0,4510.0,4276.0,4968.0,4677.0,3523.0,4593.5,98.0,4228520.0,1821,6872.0
1969-09,5048.0,6922.0,9858.0,11331.0,4016.0,3957.0,4510.0,4276.0,4968.0,4677.0,3523.0,1821.0,4593.5,174.0,14463605.0,5222,10803.0
1969-10,6922.0,9858.0,11331.0,4016.0,3957.0,4510.0,4276.0,4968.0,4677.0,3523.0,1821.0,5222.0,4593.5,-50.0,14289301.0,6872,13916.0
1969-11,9858.0,11331.0,4016.0,3957.0,4510.0,4276.0,4968.0,4677.0,3523.0,1821.0,5222.0,6872.0,4593.5,945.0,18175261.0,10803,2639.0
1969-12,11331.0,4016.0,3957.0,4510.0,4276.0,4968.0,4677.0,3523.0,1821.0,5222.0,6872.0,10803.0,4593.5,2585.0,25143530.0,13916,2899.0
1970-01,4016.0,3957.0,4510.0,4276.0,4968.0,4677.0,3523.0,1821.0,5222.0,6872.0,10803.0,13916.0,4593.5,-1377.0,136861498.0,2639,3370.0
1970-02,3957.0,4510.0,4276.0,4968.0,4677.0,3523.0,1821.0,5222.0,6872.0,10803.0,13916.0,2639.0,4593.5,-1058.0,127238329.0,2899,3740.0
1970-03,4510.0,4276.0,4968.0,4677.0,3523.0,1821.0,5222.0,6872.0,10803.0,13916.0,2639.0,2899.0,4593.5,-1140.0,289441.0,3370,2927.0
1970-04,4276.0,4968.0,4677.0,3523.0,1821.0,5222.0,6872.0,10803.0,13916.0,2639.0,2899.0,3370.0,4476.5,-536.0,358741.0,3740,3986.0
1970-05,4968.0,4677.0,3523.0,1821.0,5222.0,6872.0,10803.0,13916.0,2639.0,2899.0,3370.0,3740.0,4208.5,-2041.0,797869.0,2927,4217.0
1970-06,4677.0,3523.0,1821.0,5222.0,6872.0,10803.0,13916.0,2639.0,2899.0,3370.0,3740.0,2927.0,3631.5,-691.0,1782450.0,3986,1738.0
1970-07,3523.0,1821.0,5222.0,6872.0,10803.0,13916.0,2639.0,2899.0,3370.0,3740.0,2927.0,3986.0,3631.5,694.0,1174842.0,4217,5221.0
1970-08,1821.0,5222.0,6872.0,10803.0,13916.0,2639.0,2899.0,3370.0,3740.0,2927.0,3986.0,4217.0,3863.0,-83.0,6198802.0,1738,6424.0
1970-09,5222.0,6872.0,10803.0,13916.0,2639.0,2899.0,3370.0,3740.0,2927.0,3986.0,4217.0,1738.0,3863.0,-1.0,18276730.0,5221,9842.0
1970-10,6872.0,10803.0,13916.0,2639.0,2899.0,3370.0,3740.0,2927.0,3986.0,4217.0,1738.0,5221.0,3863.0,-448.0,13578498.0,6424,13076.0
1970-11,10803.0,13916.0,2639.0,2899.0,3370.0,3740.0,2927.0,3986.0,4217.0,1738.0,5221.0,6424.0,3863.0,-961.0,13129933.0,9842,3934.0
1970-12,13916.0,2639.0,2899.0,3370.0,3740.0,2927.0,3986.0,4217.0,1738.0,5221.0,6424.0,9842.0,3863.0,-840.0,22141480.0,13076,3162.0
1971-01,2639.0,2899.0,3370.0,3740.0,2927.0,3986.0,4217.0,1738.0,5221.0,6424.0,9842.0,13076.0,3863.0,1295.0,94034920.0,3934,4286.0
1971-02,2899.0,3370.0,3740.0,2927.0,3986.0,4217.0,1738.0,5221.0,6424.0,9842.0,13076.0,3934.0,3960.0,263.0,84172148.0,3162,4676.0
1971-03,3370.0,3740.0,2927.0,3986.0,4217.0,1738.0,5221.0,6424.0,9842.0,13076.0,3934.0,3162.0,3960.0,916.0,1859360.0,4286,5010.0
1971-04,3740.0,2927.0,3986.0,4217.0,1738.0,5221.0,6424.0,9842.0,13076.0,3934.0,3162.0,4286.0,4101.5,936.0,1415476.0,4676,4874.0
1971-05,2927.0,3986.0,4217.0,1738.0,5221.0,6424.0,9842.0,13076.0,3934.0,3162.0,4286.0,4676.0,4251.5,2083.0,263656.0,5010,4633.0
1971-06,3986.0,4217.0,1738.0,5221.0,6424.0,9842.0,13076.0,3934.0,3162.0,4286.0,4676.0,5010.0,4481.0,888.0,130052.0,4874,1659.0
1971-07,4217.0,1738.0,5221.0,6424.0,9842.0,13076.0,3934.0,3162.0,4286.0,4676.0,5010.0,4874.0,4775.0,416.0,76577.0,4633,5951.0
1971-08,1738.0,5221.0,6424.0,9842.0,13076.0,3934.0,3162.0,4286.0,4676.0,5010.0,4874.0,4633.0,4775.0,-79.0,8902757.0,1659,6981.0
1971-09,5221.0,6424.0,9842.0,13076.0,3934.0,3162.0,4286.0,4676.0,5010.0,4874.0,4633.0,1659.0,4775.0,730.0,27265940.0,5951,9851.0
1971-10,6424.0,9842.0,13076.0,3934.0,3162.0,4286.0,4676.0,5010.0,4874.0,4633.0,1659.0,5951.0,4775.0,557.0,19482164.0,6981,12670.0
1971-11,9842.0,13076.0,3934.0,3162.0,4286.0,4676.0,5010.0,4874.0,4633.0,1659.0,5951.0,6981.0,4775.0,9.0,9297800.0,9851,4348.0
1971-12,13076.0,3934.0,3162.0,4286.0,4676.0,5010.0,4874.0,4633.0,1659.0,5951.0,6981.0,9851.0,4775.0,-406.0,16183661.0,12670,3564.0
1972-01,3934.0,3162.0,4286.0,4676.0,5010.0,4874.0,4633.0,1659.0,5951.0,6981.0,9851.0,12670.0,4775.0,414.0,77202445.0,4348,4577.0
1972-02,3162.0,4286.0,4676.0,5010.0,4874.0,4633.0,1659.0,5951.0,6981.0,9851.0,12670.0,4348.0,4775.0,402.0,69870340.0,3564,4788.0
1972-03,4286.0,4676.0,5010.0,4874.0,4633.0,1659.0,5951.0,6981.0,9851.0,12670.0,4348.0,3564.0,4775.0,291.0,1640825.0,4577,4618.0
1972-04,4676.0,5010.0,4874.0,4633.0,1659.0,5951.0,6981.0,9851.0,12670.0,4348.0,3564.0,4577.0,4775.0,112.0,1070690.0,4788,5312.0
1972-05,5010.0,4874.0,4633.0,1659.0,5951.0,6981.0,9851.0,12670.0,4348.0,3564.0,4577.0,4788.0,4831.0,-392.0,73421.0,4618,4298.0
1972-06,4874.0,4633.0,1659.0,5951.0,6981.0,9851.0,12670.0,4348.0,3564.0,4577.0,4788.0,4618.0,4710.5,438.0,510536.0,5312,1413.0
1972-07,4633.0,1659.0,5951.0,6981.0,9851.0,12670.0,4348.0,3564.0,4577.0,4788.0,4618.0,5312.0,4710.5,-335.0,1509832.0,4298,5877.0
